"","user_id","screen_name","user_location","followers_count","statuses_count","user_time_zone","lang","month","year","friends_count"
"221",1626302035,"claypaigeboo","Bronx, NY",838,1328,"Eastern Time (US & Canada)","en","Jul","2013",1265
"222",1645969141,"fightm_d_b","USA",612,1717,"Eastern Time (US & Canada)","en","Aug","2013",507
"223",1646999972,"hollandpatrickk","USA",338,893,"Eastern Time (US & Canada)","en","Aug","2013",429
"224",1647637538,"kaydenmelton","Houston, TX",2780,1672,"Eastern Time (US & Canada)","en","Aug","2013",2404
"225",1649652192,"charlesrespeck","",704,1328,"Eastern Time (US & Canada)","en","Aug","2013",647
"226",1650310652,"hellieedwards","",2355,2826,"Eastern Time (US & Canada)","en","Aug","2013",3117
"227",1651108392,"wonderhann","USA",51,33,"Eastern Time (US & Canada)","en","Aug","2013",45
"228",1653393446,"johnievogue","Miami, FL",876,1610,"Eastern Time (US & Canada)","en","Aug","2013",743
"229",1654347974,"maymaymyy","USA",870,1660,"Eastern Time (US & Canada)","en","Aug","2013",742
"230",1654695517,"imaswerve","USA",795,1417,"Eastern Time (US & Canada)","en","Aug","2013",709
"231",1655288160,"sincerepruitt","Baltimore, MD",612,1272,"Eastern Time (US & Canada)","en","Aug","2013",581
"232",1655815544,"jeanuttella","USA",830,1514,"Eastern Time (US & Canada)","en","Aug","2013",647
"233",1657753759,"johnbranchh","Houston, TX",849,1685,"Eastern Time (US & Canada)","en","Aug","2013",852
"234",1659753702,"karenparker93","",1317,1957,"Eastern Time (US & Canada)","en","Aug","2013",862
"235",1660183028,"tessyelmore","Oklahoma, PA",2823,1738,"Eastern Time (US & Canada)","en","Aug","2013",2207
"236",1660186831,"adrgreerr","USA",717,1400,"Eastern Time (US & Canada)","en","Aug","2013",1214
"237",1660804459,"damanimiles","United States",815,1353,"Eastern Time (US & Canada)","en","Aug","2013",682
"238",1662779209,"rh0lbr00k","USA",1799,1988,"Eastern Time (US & Canada)","en","Aug","2013",1970
"239",1663583694,"finnaglo","Chicago, IL",810,1507,"Eastern Time (US & Canada)","en","Aug","2013",911
"240",1668314575,"johnieboycooks","Atlanta, GA",674,1499,"Eastern Time (US & Canada)","en","Aug","2013",647
"241",1670762347,"adamchapmanjr","Arizona, USA",835,1282,"Eastern Time (US & Canada)","en","Aug","2013",728
"242",1675280893,"brianthelifter","Atlanta, GA",880,1244,"Eastern Time (US & Canada)","en","Aug","2013",698
"243",1678552327,"wokefromday1","",782,1761,"Eastern Time (US & Canada)","en","Aug","2013",829
"244",1680366068,"willisbonnerr","Ferguson, MO",571,1356,"Eastern Time (US & Canada)","en","Aug","2013",470
"245",1683608846,"jerstoner","USA",596,1249,"Eastern Time (US & Canada)","en","Aug","2013",464
"246",1685229229,"nehemiahx","USA",691,1137,"Eastern Time (US & Canada)","en","Aug","2013",642
"247",1688003786,"queennarielle","USA",909,1614,"Eastern Time (US & Canada)","en","Aug","2013",941
"248",1691000604,"robertebonyking","Chicago, IL",591,1141,"Eastern Time (US & Canada)","en","Aug","2013",478
"249",1695671640,"johnnymarch_","",668,1431,"Eastern Time (US & Canada)","en","Aug","2013",765
"250",1696996141,"kencannone","NH",774,1264,"Eastern Time (US & Canada)","en","Aug","2013",580
